gid,role,role_score,cluster_id,priority_score,rank,evidence,depth,is_seed,censored,seeds_upstream,seeds_direct,in_degree,out_degree,in_tx,out_tx,in_sum_kzt,out_sum_kzt,retention,fast_out_share,sync_in_max,co_senders,routes_mid,routes_any,pagerank,betweenness,hub_in,hub_out,clusters_touched,peer_in_degree,peer_out_degree,peer_volume,peer_betweenness,depth_outliers
100000003115284100,consolidator,0.8584,0,0.8853,1,Признаки консолидации: деньги от 9 seed (2 напрямую); получает от 8 плательщ. (2.2 млн ₸); платит 2 получат. (517 тыс ₸); отдаёт дальше 24% полученного; 99% уходит ≤2 дн. после поступления,1,False,False,9,2,8,2,15,4,2160500.0,517000.0,0.7607,0.9865,7,0,2,4,0.00152864,0.0001278,8,2,6,0.9936,0.7834,0.9873,0.896,"in_degree,volume"
100000006889963100,consolidator,0.7465,1,0.8062,2,Признаки консолидации: деньги от 9 seed (2 напрямую); получает от 4 плательщ. (1.4 млн ₸); платит 1 получат. (443 тыс ₸); отдаёт дальше 31% полученного; по обороту выше 96% узлов 1-го колена,1,False,False,9,2,4,1,6,3,1431000.0,443475.8,0.6901,1.0,4,0,1,3,0.00042726,2.516e-05,4,0,3,0.9236,0.6476,0.9639,0.8089,volume
100000007908818100,coordinator,0.9474,27,0.7451,3,Связующий узел между хабами: связан с 4+1 хабами (вход+выход); деньги от 8 seed (2 напрямую); получает от 4 плательщ. (727 тыс ₸); платит 6 получат. (302 тыс ₸); отдаёт дальше 42% полученного,1,False,False,8,2,4,6,4,13,727475.0,302000.0,0.5849,0.0497,2,0,0,2,0.00047538,0.00017754,4,1,3,0.9236,0.9342,0.9257,0.9151,
100000004156082100,distributor,0.9101,4,0.7299,4,Признаки веерной раздачи: деньги от 3 seed (1 напрямую); получает от 5 плательщ. (377 тыс ₸); платит 26 получат. (2.3 млн ₸); отдаёт в 6.1 раза больше видимого входа; повтор. маршрутов: 10,1,False,False,3,1,5,26,7,29,377366.11,2319556.0,0.0,0.959,2,1,10,10,0.00086697,0.00204004,2,9,1,0.9703,0.9979,0.9894,0.9894,"in_degree,out_degree,volume,betweenness"
100000008603629100,distributor,0.9936,2,0.7195,5,Признаки веерной раздачи: получает от 19 плательщ. (1.8 млн ₸); платит 61 получат. (5.0 млн ₸); отдаёт в 2.7 раза больше видимого входа; по числу плательщиков больше всех узлов 2-го колена,2,False,False,1,0,19,61,45,74,1817300.0,4986156.0,0.0,0.9888,4,7,35,38,0.00119181,0.00576053,17,24,7,1.0,0.9935,0.9913,0.9978,"in_degree,out_degree,volume,betweenness"
100000008686313100,transit,0.8272,2,0.7173,6,Признаки транзита: деньги от 3 seed (1 напрямую); получает от 6 плательщ. (1.9 млн ₸); платит 7 получат. (334 тыс ₸); отдаёт дальше 17% полученного; по числу плательщиков выше 98% узлов 1-го колена,1,False,False,3,1,6,7,16,13,1912716.0,333800.0,0.8255,1.0,2,14,6,15,0.00046763,0.00198483,6,5,4,0.983,0.9512,0.9766,0.9851,"in_degree,out_degree,volume,betweenness"
100000008165763100,transit,0.8339,3,0.7171,7,Признаки транзита: деньги от 3 seed (1 напрямую); получает от 15 плательщ. (1.2 млн ₸); платит 17 получат. (1.3 млн ₸); отдаёт в 1.1 раза больше видимого входа; 68% уходит ≤2 дн. после поступления,1,False,False,3,1,15,17,26,17,1165815.0,1267858.0,0.0,0.6806,4,6,4,4,0.00091024,0.00034529,13,7,7,1.0,0.9894,0.9809,0.9512,"in_degree,out_degree,volume,betweenness"
100000004015047100,consolidator,0.7079,13,0.691,8,Признаки консолидации: деньги от 6 seed (3 напрямую); получает от 9 плательщ. (919 тыс ₸); платит 1 получат. (69 тыс ₸); отдаёт дальше 8% полученного; 64% уходит ≤2 дн. после поступления,1,False,False,6,3,9,1,18,7,919104.0,69195.0,0.9247,0.6363,2,0,0,0,0.0022786,2.289e-05,6,1,3,0.9958,0.6476,0.9193,0.7983,in_degree
100000000437046100,distributor,0.9651,2,0.6909,9,Признаки веерной раздачи: получает от 9 плательщ. (1.1 млн ₸); платит 42 получат. (7.6 млн ₸); отдаёт в 6.9 раза больше видимого входа; по числу плательщиков выше 98% узлов 2-го колена,2,False,False,1,0,9,42,20,73,1107200.0,7606224.0,0.0,0.8675,3,15,22,28,0.00079249,0.00219715,9,20,8,0.987,0.9913,0.9935,0.9826,"in_degree,out_degree,volume,betweenness"
100000003635170100,transit,0.8551,1,0.6837,10,Признаки транзита: деньги от 4 seed (1 напрямую); получает от 3 плательщ. (268 тыс ₸); платит 4 получат. (254 тыс ₸); отдаёт дальше 94% полученного; 100% уходит ≤2 дн. после поступления,1,False,False,4,1,3,4,13,10,268500.0,253500.0,0.0559,1.0,2,1,1,1,0.00114819,0.00018804,2,1,0,0.8429,0.9002,0.8514,0.9214,
