cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,cluster_score,sum_kzt_external,n_edges_internal,n_censored,fast_share_internal,repeated_routes,in_kzt_nonseed,out_kzt_nonseed,in_kzt_seeds,out_kzt_seeds,roles
0,21,3,5789973.0,100000003115284100 100000008730846100 100000003404627100 100000003390036100 100000003360542100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 7, транзит 1, распределитель 1, координатор 1). 21 узлов, seed 3; внутр. оборот 5.8 млн ₸; быстрый транзит 84%; повторяющихся маршрутов 4; ключевой узел 100000003115284100 (консолидатор); 5 узлов на границе обхода (исходящие неизвестны).",0.9006,2506276.0,28,5,0.8359,4,4803945.0,1717750.0,3380066.0,4184461.0,"peripheral:10, consolidator:7, transit:1, terminal:1, coordinator:1, distributor:1"
1,51,3,6762023.8,100000006889963100 100000003635170100 100000007129492100 100000002957306100 100000001924185100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 11, транзит 3, распределитель 2). 51 узлов, seed 3; внутр. оборот 6.8 млн ₸; быстрый транзит 62%; повторяющихся маршрутов 4; ключевой узел 100000006889963100 (консолидатор); 4 узлов на границе обхода (исходящие неизвестны).",0.8351,2914897.0,56,4,0.6227,4,7014228.8,2315785.8,1550712.0,5558218.0,"terminal:21, peripheral:14, consolidator:11, transit:3, distributor:2"
2,170,0,19984062.0,100000008603629100 100000008686313100 100000000437046100 100000008477350100 100000007055802100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 13, транзит 11, распределитель 8, координатор 4). 170 узлов, seed 0; внутр. оборот 20.0 млн ₸; быстрый транзит 74%; повторяющихся маршрутов 17; ключевой узел 100000008603629100 (распределитель); 50 узлов на границе обхода (исходящие неизвестны).",0.791,12628440.8,216,50,0.7412,17,27622741.0,24973823.8,0.0,0.0,"peripheral:86, terminal:48, consolidator:13, transit:11, distributor:8, coordinator:4"
3,213,1,19498637.55,100000008165763100 100000002957787100 100000008346837100 100000002398779100 100000004070318100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 17, транзит 8, распределитель 21, координатор 8). 213 узлов, seed 1; внутр. оборот 19.5 млн ₸; быстрый транзит 48%; повторяющихся маршрутов 33; ключевой узел 100000008165763100 (транзит); 44 узлов на границе обхода (исходящие неизвестны).",0.7642,12674992.53,323,44,0.4753,33,23100898.85,23784519.78,838812.0,3948037.0,"terminal:87, peripheral:72, distributor:21, consolidator:17, transit:8, coordinator:8"
4,182,13,24973441.56,100000004156082100 100000004820260100 100000005339662100 100000006518161100 100000004330371100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 14, транзит 3, распределитель 11, координатор 9). 182 узлов, seed 13; внутр. оборот 25.0 млн ₸; быстрый транзит 60%; повторяющихся маршрутов 79; ключевой узел 100000004156082100 (распределитель); 14 узлов на границе обхода (исходящие неизвестны).",0.756,2521139.0,246,14,0.6035,79,23342686.56,16134271.56,2215297.0,10775767.0,"terminal:84, peripheral:61, consolidator:14, distributor:11, coordinator:9, transit:3"
5,17,1,21586840.0,100000002224132100 100000004603109100 100000000594783100 100000004892144100 100000003835149100,"Цепочки быстрого транзита и повторяющиеся маршруты (транзит 3, координатор 1). 17 узлов, seed 1; внутр. оборот 21.6 млн ₸; быстрый транзит 47%; повторяющихся маршрутов 3; ключевой узел 100000002224132100 (транзит).",0.7523,17000.0,24,0,0.4708,3,21603840.0,21289840.0,0.0,297000.0,"peripheral:8, terminal:5, transit:3, coordinator:1"
6,17,1,2977887.0,100000004160650100 100000002731501100 100000003616818100 100000004005964100 100000004144536100,"Транзит с веерной раздачей (транзит 2, распределитель 2, координатор 1). 17 узлов, seed 1; внутр. оборот 3.0 млн ₸; быстрый транзит 57%; повторяющихся маршрутов 8; ключевой узел 100000004160650100 (распределитель); 1 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.7469,0.0,31,1,0.569,8,2213183.0,2829887.0,764704.0,148000.0,"terminal:7, peripheral:5, transit:2, distributor:2, coordinator:1"
7,6,1,1615030.0,100000008736940100 100000008751429100 100000005456919100 100000008193577100 100000008659445100,"Транзит с веерной раздачей (транзит 3, распределитель 1, координатор 1). 6 узлов, seed 1; внутр. оборот 1.6 млн ₸; быстрый транзит 47%; повторяющихся маршрутов 3; ключевой узел 100000008736940100 (транзит). Обычное объяснение: выплаты / зарплатный проект.",0.7431,0.0,14,0,0.4724,3,1476540.0,739880.0,138490.0,875150.0,"transit:3, distributor:1, coordinator:1, terminal:1"
8,5,1,2809200.0,100000004135268100 100000004979498100 100000007507343100 100000002738256100 100000008571433100,"Цепочки быстрого транзита и повторяющиеся маршруты (транзит 2). 5 узлов, seed 1; внутр. оборот 2.8 млн ₸; быстрый транзит 81%; повторяющихся маршрутов 1; ключевой узел 100000004135268100 (транзит).",0.712,0.0,7,0,0.8148,1,2459200.0,1375200.0,350000.0,1434000.0,"transit:2, peripheral:2, terminal:1"
9,109,2,16628462.0,100000003366154100 100000008748914100 100000001530983100 100000001072022100 100000007777377100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 13, транзит 3, распределитель 4). 109 узлов, seed 2; внутр. оборот 16.6 млн ₸; быстрый транзит 61%; повторяющихся маршрутов 24; ключевой узел 100000003366154100 (транзит); 7 узлов на границе обхода (исходящие неизвестны).",0.7116,6648715.0,116,7,0.6089,24,16461111.0,10912437.0,3848436.0,8683655.0,"terminal:62, peripheral:27, consolidator:13, distributor:4, transit:3"
10,26,0,3427726.0,100000008512552100 100000003242289100 100000003178549100 100000006225798100 100000008221543100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 1, транзит 1, распределитель 1, координатор 2). 26 узлов, seed 0; внутр. оборот 3.4 млн ₸; быстрый транзит 59%; повторяющихся маршрутов 4; ключевой узел 100000008512552100 (транзит); 6 узлов на границе обхода (исходящие неизвестны).",0.6625,1371500.0,30,6,0.5924,4,4239396.0,3987556.0,0.0,0.0,"peripheral:11, terminal:10, coordinator:2, transit:1, distributor:1, consolidator:1"
11,176,1,42314724.62,100000008489922100 100000008547948100 100000008547844100 100000008517538100 100000008710791100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 7, транзит 4, распределитель 17). 176 узлов, seed 1; внутр. оборот 42.3 млн ₸; быстрый транзит 38%; повторяющихся маршрутов 6; ключевой узел 100000008489922100 (распределитель); 60 узлов на границе обхода (исходящие неизвестны).",0.6618,5097164.0,271,60,0.3792,6,46022673.62,43558939.62,0.0,145000.0,"peripheral:80, terminal:68, distributor:17, consolidator:7, transit:4"
12,24,0,3340669.0,100000008213966100 100000005519998100 100000000838385100 100000007382543100 100000004336312100,"Транзит с веерной раздачей (транзит 3, распределитель 3, координатор 3). 24 узлов, seed 0; внутр. оборот 3.3 млн ₸; быстрый транзит 26%; повторяющихся маршрутов 2; ключевой узел 100000008213966100 (транзит); 8 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.6536,69250.0,34,8,0.2643,2,3409919.0,3340669.0,0.0,0.0,"peripheral:11, terminal:4, distributor:3, coordinator:3, transit:3"
13,115,3,18382859.46,100000004015047100 100000005704413100 100000005933757100 100000003923946100 100000005578559100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 6, транзит 4, распределитель 6, координатор 5). 115 узлов, seed 3; внутр. оборот 18.4 млн ₸; быстрый транзит 25%; повторяющихся маршрутов 12; ключевой узел 100000004015047100 (консолидатор); 37 узлов на границе обхода (исходящие неизвестны).",0.628,2962996.8,135,37,0.2451,12,19414017.26,17262993.46,299995.0,2751710.0,"terminal:47, peripheral:47, consolidator:6, distributor:6, coordinator:5, transit:4"
14,18,0,3422800.0,100000003701161100 100000002267998100 100000003718221100 100000008137435100 100000001822623100,"Транзит с веерной раздачей (транзит 3, распределитель 1). 18 узлов, seed 0; внутр. оборот 3.4 млн ₸; быстрый транзит 57%; повторяющихся маршрутов 2; ключевой узел 100000003701161100 (транзит); 2 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.6165,353409.0,21,2,0.5659,2,3724809.0,3474200.0,0.0,0.0,"terminal:9, peripheral:5, transit:3, distributor:1"
15,40,10,7121184.0,100000004403675100 100000003854444100 100000006274203100 100000007594394100 100000003988112100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 3, транзит 2, распределитель 1, координатор 1). 40 узлов, seed 10; внутр. оборот 7.1 млн ₸; быстрый транзит 50%; повторяющихся маршрутов 2; ключевой узел 100000004403675100 (транзит); 4 узлов на границе обхода (исходящие неизвестны).",0.5964,843911.0,41,4,0.5007,2,7174537.0,7096012.0,465180.0,350550.0,"terminal:17, peripheral:16, consolidator:3, transit:2, distributor:1, coordinator:1"
16,83,0,17322006.0,100000007442518100 100000008258083100 100000000673868100 100000001287955100 100000005242320100,"Транзит с веерной раздачей (транзит 3, распределитель 4). 83 узлов, seed 0; внутр. оборот 17.3 млн ₸; быстрый транзит 48%; повторяющихся маршрутов 3; ключевой узел 100000007442518100 (транзит); 37 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.5796,1723027.0,85,37,0.4809,3,18010233.0,18356806.0,0.0,0.0,"peripheral:43, terminal:33, distributor:4, transit:3"
17,57,1,10660934.02,100000002894076100 100000005473151100 100000000274067100 100000000267734100 100000008545727100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 1, транзит 2, распределитель 3). 57 узлов, seed 1; внутр. оборот 10.7 млн ₸; быстрый транзит 39%; повторяющихся маршрутов 6; ключевой узел 100000002894076100 (консолидатор); 2 узлов на границе обхода (исходящие неизвестны).",0.566,2266710.4,62,2,0.3886,6,11699844.02,7650725.02,0.0,4238009.4,"terminal:33, peripheral:18, distributor:3, transit:2, consolidator:1"
18,11,0,3784703.0,100000003004487100 100000002175422100 100000003557488100 100000002710570100 100000001317336100,"Транзит с веерной раздачей (транзит 2, распределитель 1). 11 узлов, seed 0; внутр. оборот 3.8 млн ₸; быстрый транзит 31%; повторяющихся маршрутов 1; ключевой узел 100000003004487100 (транзит); 3 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.5553,68702.8,13,3,0.3089,1,3853405.8,3784703.0,0.0,0.0,"peripheral:5, terminal:3, transit:2, distributor:1"
19,6,1,1527967.0,100000005183943100 100000007939160100 100000000580561100 100000003888271100 100000007930878100,"Цепочки быстрого транзита и повторяющиеся маршруты (транзит 1). 6 узлов, seed 1; внутр. оборот 1.5 млн ₸; быстрый транзит 56%; повторяющихся маршрутов 2; ключевой узел 100000005183943100 (конечный получатель).",0.5194,0.0,7,0,0.5608,2,1499987.0,39890.0,27980.0,1488077.0,"terminal:3, peripheral:2, transit:1"
